année,type de zone administrative,nom,population,cog (code officiel géographique),url,dotation globale de fonctionnement,imposition forfaitaire sur les entreprises de réseau - base nette imposée,imposition forfaitaire sur les entreprises de réseau - réductions de bases accordées sur délibérations,imposition forfaitaire sur les entreprises de réseau - taux,imposition forfaitaire sur les entreprises de réseau - produits,cotisation valeur ajoutée des entreprises - base nette imposée,cotisation valeur ajoutée des entreprises - réductions de bases accordées sur délibérations,cotisation valeur ajoutée des entreprises - taux,cotisation valeur ajoutée des entreprises - produits,taxe professionnelle - base nette imposée,taxe professionnelle - réductions de bases accordées sur délibérations,taxe professionnelle - taux,taxe professionnelle - produits,annuité des dettes bancaires et assimilées,encours des dettes bancaires et assimilées,caf nette du remboursement en capital des emprunts,remboursement d'emprunts et dettes assimilées,dépenses d'équipement,fctva,charges financières,= besoin ou capacité de financement de la section d'investissement = e,résultat d'ensemble = r - e,aides à la personne,total des ressources d'investissement budgétaires = c,dépenses d'investissement directes,total des emplois d'investissement = d,taxe foncière sur les propriétés non bâties - base nette imposée,taxe foncière sur les propriétés non bâties - réductions de bases accordées sur délibérations,taxe foncière sur les propriétés non bâties - taux,taxe foncière sur les propriétés non bâties - produits,emprunts bancaires et dettes assimilées,impôts locaux,contributions obligatoires et participations,resultat comptable = a - b = r,total des charges de fonctionnement = b,charges de fonctionnement réelles,produits de fonctionnement réels,total des produits de fonctionnement = a,autres impôts et taxes,subventions d'équipement versées,taxe foncière sur les propriétés bâties - base nette imposée,taxe foncière sur les propriétés bâties - réductions de bases accordées sur délibérations,taxe foncière sur les propriétés bâties - taux,taxe foncière sur les propriétés bâties - produits,achats et charges externes,attributions de péréquation et de compensation,subventions reçues,fiscalité reversée,besoin ou capacité de financement résiduel de la section d'investissement = d - c,capacité d'autofinancement = caf,produits des cessions d'immobilisations,charges de personnel,subventions,subventions et contingents,excédent brut de fonctionnement,solde des opérations pour le compte de tiers,tipce,dotation d'apprentissage et de formation professionnelle,fonds de roulement
2008,region,REGION BOURGOGNE,1610067,026,http://alize2.finances.gouv.fr/regions/detail.php?reg=026&exercice=2008,168454000.0,,,,,,,,,2589261000.0,,0.030899999999999997,80008000.0,29162000.0,250329000.0,,23591000.0,,9038000.0,9005000.0,-18565000.0,113096000.0,21987000.0,349884000.0,56312000.0,326221000.0,4274000.0,,0.09029999999999999,386000.0,93000000.0,120183000.0,250221000.0,94530000.0,476850000.0,0.0,564979000.0,571381000.0,171417000.0,152685000.0,1444815000.0,,0.036000000000000004,52013000.0,32291000.0,9145000.0,16387000.0,0.0,-23664000.0,,44000.0,62767000.0,58841000.0,334643000.0,,5098000.0,104413000.0,59434000.0,
2008,region,REGION NORD-PAS-DE-CALAIS (NPDC),3996588,031,http://alize2.finances.gouv.fr/regions/detail.php?reg=031&exercice=2008,372171000.0,,,,,,,,,7470016000.0,,0.0381,284606000.0,223818000.0,1414961000.0,,173442000.0,,29230000.0,60870000.0,40868000.0,237601000.0,68400000.0,850816000.0,204604000.0,891684000.0,9671000.0,,0.13,1257000.0,213924000.0,376805000.0,333096000.0,278469000.0,1156560000.0,0.0,1408626000.0,1435029000.0,380327000.0,312406000.0,2738286000.0,,0.0383,104882000.0,100830000.0,16878000.0,65732000.0,0.0,40868000.0,,7397000.0,200769000.0,297203000.0,706680000.0,,0.0,239448000.0,147674000.0,
2008,region,REGION LORRAINE,2310376,041,http://alize2.finances.gouv.fr/regions/detail.php?reg=041&exercice=2008,213369000.0,,,,,,,,,4588605000.0,,0.0259,118846000.0,40318000.0,507836000.0,,23265000.0,,9263000.0,18349000.0,-16494000.0,151480000.0,30555000.0,386221000.0,69543000.0,369710000.0,5359000.0,,0.0823,441000.0,98571000.0,159794000.0,280986000.0,134986000.0,637086000.0,0.0,717114000.0,772072000.0,210187000.0,169501000.0,1996652000.0,,0.0273,54511000.0,56889000.0,6324000.0,28892000.0,0.0,-16511000.0,,15000.0,91461000.0,97827000.0,414276000.0,,17000.0,114220000.0,79289000.0,
2008,region,REGION ALSACE,1734145,042,http://alize2.finances.gouv.fr/regions/detail.php?reg=042&exercice=2008,185449000.0,,,,,,,,,4182513000.0,,0.0235,98290000.0,66017000.0,650519000.0,,43600000.0,,9894000.0,24981000.0,32243000.0,107955000.0,14252000.0,405085000.0,65641000.0,437328000.0,3474000.0,,0.08650000000000001,300000.0,83926000.0,128957000.0,113591000.0,140198000.0,514202000.0,0.0,602051000.0,654400000.0,173893000.0,154000000.0,1812091000.0,,0.0181,32799000.0,34297000.0,3037000.0,27640000.0,0.0,32243000.0,,26000.0,61721000.0,206276000.0,337742000.0,,0.0,101730000.0,58725000.0,
2008,region,REGION FRANCHE-COMTE,1117059,043,http://alize2.finances.gouv.fr/regions/detail.php?reg=043&exercice=2008,114564000.0,,,,,,,,,2256499000.0,,0.0311,70176000.0,17911000.0,142899000.0,,13264000.0,,9907000.0,5923000.0,-628000.0,105503000.0,14316000.0,284820000.0,42960000.0,282760000.0,2518000.0,,0.1024,258000.0,30000000.0,105936000.0,118362000.0,104875000.0,334824000.0,0.0,414420000.0,439699000.0,121907000.0,134022000.0,994376000.0,,0.0392,38979000.0,13946000.0,3736000.0,18216000.0,0.0,-2059000.0,,92000.0,53396000.0,95634000.0,230873000.0,,1432000.0,73296000.0,43915000.0,
2008,region,REGION PAYS-DE-LA-LOIRE,3222061,052,http://alize2.finances.gouv.fr/regions/detail.php?reg=052&exercice=2008,257801000.0,,,,,,,,,5434658000.0,,0.027999999999999997,152178000.0,146428000.0,795341000.0,,120691000.0,,15617000.0,29905000.0,12818000.0,264556000.0,35314000.0,910748000.0,127699000.0,922909000.0,15070000.0,,0.0507,761000.0,269186000.0,224513000.0,290338000.0,277374000.0,782393000.0,0.0,987687000.0,1059766000.0,308833000.0,367020000.0,2842578000.0,,0.026600000000000002,75611000.0,93931000.0,13187000.0,42574000.0,0.0,12161000.0,,2525000.0,104423000.0,141463000.0,473927000.0,,657000.0,181088000.0,137109000.0,
2008,region,REGION BRETAGNE,2906197,053,http://alize2.finances.gouv.fr/regions/detail.php?reg=053&exercice=2008,249142000.0,,,,,,,,,4260410000.0,,0.0313,133356000.0,39546000.0,366997000.0,,26512000.0,,12049000.0,15918000.0,-23755000.0,253030000.0,24518000.0,561794000.0,113187000.0,538039000.0,12308000.0,,0.041299999999999996,496000.0,37392000.0,203085000.0,243417000.0,229275000.0,683802000.0,0.0,907714000.0,913078000.0,298285000.0,230818000.0,2584548000.0,,0.0297,76765000.0,66499000.0,12742000.0,46344000.0,0.0,-23755000.0,,95000.0,100303000.0,157161000.0,431885000.0,,0.0,178006000.0,89814000.0,
2008,region,REGION POITOU-CHARENTES,1640068,054,http://alize2.finances.gouv.fr/regions/detail.php?reg=054&exercice=2008,136827000.0,,,,,,,,,2413098000.0,,0.025099999999999997,60572000.0,60764000.0,291304000.0,,51677000.0,,12404000.0,9495000.0,47038000.0,87834000.0,16009000.0,283356000.0,67560000.0,329457000.0,5299000.0,,0.0863,458000.0,45000000.0,106490000.0,40022000.0,134872000.0,430673000.0,0.0,533929000.0,565545000.0,154211000.0,93181000.0,1396806000.0,,0.0332,46377000.0,32895000.0,11394000.0,21652000.0,0.0,46101000.0,,352000.0,85064000.0,207862000.0,268135000.0,,937000.0,80540000.0,77309000.0,
2008,region,REGION AQUITAINE,2908359,072,http://alize2.finances.gouv.fr/regions/detail.php?reg=072&exercice=2008,222089000.0,,,,,,,,,4444274000.0,,0.0354,157323000.0,50139000.0,275490000.0,,41133000.0,,24534000.0,9761000.0,-16123000.0,371274000.0,32328000.0,760612000.0,153828000.0,739432000.0,11940000.0,,0.0931,1105000.0,10000000.0,249423000.0,240625000.0,355151000.0,679494000.0,0.0,948993000.0,1034645000.0,281369000.0,233152000.0,2942162000.0,,0.0317,93269000.0,48857000.0,11216000.0,40584000.0,0.0,-21180000.0,,50000.0,108126000.0,135309000.0,414728000.0,,5057000.0,162908000.0,110238000.0,
2008,region,REGION MIDI-PYRENEES,2551687,073,http://alize2.finances.gouv.fr/regions/detail.php?reg=073&exercice=2008,245376000.0,,,,,,,,,3960129000.0,,0.0401,158795000.0,11992000.0,224254000.0,,6558000.0,,28258000.0,5739000.0,-60137000.0,291465000.0,37340000.0,732238000.0,213366000.0,657797000.0,4718000.0,,0.1092,516000.0,131351000.0,268660000.0,191001000.0,231328000.0,701521000.0,0.0,910546000.0,932849000.0,254102000.0,223809000.0,2546711000.0,,0.045899999999999996,116895000.0,62360000.0,12949000.0,29404000.0,0.0,-74442000.0,,127000.0,112298000.0,204769000.0,441477000.0,,14304000.0,151796000.0,84495000.0,
